Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
589AelScFm0FYQ4VG1biJi,"The James Bond Theme (From Dr. No)","The Music Of John Barry","John Barry",1976-02-22,173093,50,lastninja80,2019-11-07T15:25:06Z,"","Columbia",0.437,0.567,11,-12.797,1,0.0386,0.366,0.846,0.175,0.326,130.147,4
5BAHAfFiz8NbgTHf9MgleH,"From Russia With Love","Great Gentlemen Of Song / Spotlight On Matt Monro","Matt Monro",1995-07-20,155773,0,lastninja80,2019-11-07T15:24:59Z,"easy listening,adult standards","Parlophone UK",0.243,0.373,2,-10.383,0,0.0321,0.905,0.00000836,0.237,0.237,87.261,4
7r0EUONfPUZ8SD1vu4ro27,"Goldfinger","Diamonds: The Best of Shirley Bassey","Shirley Bassey",1988-05-23,168733,46,lastninja80,2019-11-07T15:25:04Z,"easy listening","Parlophone UK",0.401,0.446,4,-9.646,1,0.0416,0.263,0,0.298,0.424,103.771,4
0Cq5h2Xnn6EqA5dhDQUcss,"Thunderball","The Best Of ... Tom Jones","Tom Jones",1997-10-13,171066,43,lastninja80,2019-11-08T13:11:59Z,"","Decca Music Group Ltd.",0.266,0.673,3,-5.618,0,0.0371,0.609,0.0000426,0.595,0.45,94.319,4
7e3RGqZ2FkFmcInDdgfJze,"You Only Live Twice","Nancy In London","Nancy Sinatra",2006-04-25,178840,23,lastninja80,2019-11-07T15:26:01Z,"","Boots Enterprises, Inc.",0.256,0.536,0,-6.308,1,0.0307,0.705,0,0.1,0.422,88.981,4
5WCXReutL1R72aovjrFhjt,"Casino Royale","Sounds Like","Herb Alpert & The Tijuana Brass",1967,156253,0,lastninja80,2019-11-07T15:24:55Z,"adult standards,exótica","Shout!",0.705,0.531,2,-9.072,1,0.0383,0.657,0.651,0.0582,0.818,136.829,4
3M0zi8iD2KRzY71XcGFUpE,"On Her Majesty's Secret Service - From “On Her Majesty’s Secret Service” Soundtrack / Remastered 2003","On Her Majesty's Secret Service (Expanded Edition)","John Barry",2003-01-01,155600,44,lastninja80,2019-11-07T15:31:29Z,"","Capitol Records",0.401,0.444,1,-11.391,1,0.0306,0.0596,0,0.0874,0.349,124.746,4
0IVHwJqgXfwVMYBZk49uyK,"We Have All the Time In the World","Jazz: Lounge","Louis Armstrong",2014-09-19,192200,0,lastninja80,2019-11-07T15:24:53Z,"jazz,swing,big band,vocal jazz,jazz blues","U-5",0.502,0.443,9,-12.239,1,0.0276,0.175,0.00594,0.2,0.485,89.835,4
3Tp3nTswQmMzmQRqZu4iM2,"Diamonds Are Forever","Let Me Sing and I'm Happy","Shirley Bassey",1998,161933,50,lastninja80,2019-11-07T15:24:51Z,"easy listening","Parlophone UK",0.48,0.447,4,-10.962,0,0.036,0.74,0.00437,0.0858,0.255,96.771,4
0BlnapfYbgEbTfjtg5tbCT,"Live And Let Die","Pure McCartney (Deluxe Edition)","Wings",2016-06-10,194613,43,lastninja80,2019-11-07T15:23:15Z,"","Paul McCartney Catalog",0.454,0.523,7,-9.942,1,0.0621,0.257,0.00147,0.0956,0.203,124.651,4
6AlKEuFclvlnxomoMdWF5j,"The Man with the Golden Gun (Main Title)","The Man Who Sold the World","Lulu",1974,154893,38,lastninja80,2023-04-19T17:02:35Z,"","Crimson",0.496,0.803,4,-7.002,1,0.0648,0.0728,0,0.322,0.606,134.521,4
1CfmUSOJBrZwq5iOlTX548,"Nobody Does It Better","James Bond 007 13 Original Themes","Carly Simon",1983,212466,0,lastninja80,2019-11-07T15:25:01Z,"","Capitol Records",0.392,0.365,10,-14.613,1,0.0293,0.74,0.00000732,0.233,0.374,135.464,4
0XCszZIzEncBpgAMkKoDB2,"Moonraker","Bassey - The EMI/UA Years 1959-1979","Shirley Bassey",1994,189173,43,lastninja80,2019-11-07T15:24:47Z,"easy listening","Parlophone UK",0.27,0.293,11,-11.897,1,0.0284,0.864,0.0162,0.15,0.189,96.172,4
4jRJWlkCn3pAwezfqFODU3,"For Your Eyes Only","You Could Have Been With Me [Bonus Tracks Version]","Sheena Easton",1981,184480,55,lastninja80,2019-11-07T15:25:41Z,"","RT Industries",0.244,0.44,7,-7.777,1,0.0475,0.871,0.0000865,0.372,0.113,82.02,4
1cFWJRuAufyHeyfPliPHPD,"All Time High","Delta Lady / The Anthology","Rita Coolidge",2004-01-01,184586,0,lastninja80,2019-11-07T15:23:40Z,"","Interscope",0.477,0.573,3,-7.65,0,0.0338,0.17,0.0000219,0.109,0.378,105.626,4
24KYIUYUhtNe1AXDFDOuvt,"Never Say Never Again","Hier & demain","Lani Hall",2022-04-01,185666,36,lastninja80,2023-04-19T17:06:55Z,"","Universal Music Division Decca Records France",0.603,0.523,0,-7.33,1,0.0274,0.492,0,0.124,0.379,126.66,4
2FbkxLsDnOOJUsp61T8MiA,"A View To A Kill","Singles Box '81 - '85","Duran Duran",2005-10-31,217693,39,lastninja80,2019-11-07T15:25:12Z,"new wave,synthpop","EMI UK",0.709,0.828,1,-5.192,1,0.0534,0.0156,0,0.0358,0.775,125.507,4
4tWe3Fr8HrQPq2iFOpEGZs,"The Living Daylights","The Singles: 1984-2004","a-ha",2004-11-29,254346,52,lastninja80,2019-11-07T15:24:17Z,"new wave,synthpop","Rhino/Warner Records",0.694,0.78,2,-7.872,0,0.0267,0.121,0.00157,0.114,0.829,120.266,4
2ytwDkF0RLOi6qL2uJ2cQG,"Licence To Kill","Licence To Kill (Original Motion Picture Soundtrack)","Gladys Knight",1989-01-01,314466,48,lastninja80,2019-11-07T15:43:26Z,"","Radioactive",0.574,0.656,2,-7.834,1,0.0316,0.128,0,0.18,0.38,77.976,4
528QhCT2v3HgD71RmrSUNW,"Goldeneye","Goldeneye","Tina Turner",1995-01-01,288400,49,lastninja80,2019-11-07T15:23:30Z,"","Virgin Records",0.653,0.51,11,-10.59,0,0.0266,0.00456,0.000355,0.073,0.373,102.021,4
5ZaYzUFPM4Sd9wtiOy1uME,"James Bond Theme (Moby's Re-Version)","James Bond Theme (Moby's Re-Version)","Moby",1997-08-26,194333,0,lastninja80,2019-11-07T15:27:24Z,"downtempo,trip hop","Mute, a BMG Company",0.562,0.954,11,-3.978,1,0.0495,0.000529,0.891,0.13,0.532,124.138,4
3peBSjcjaouspgb68WK2sk,"Tomorrow Never Dies","Tomorrow Never Dies","Sheryl Crow",1997-01-01,291266,43,lastninja80,2019-11-07T15:23:34Z,"","A&M",0.237,0.474,5,-9.83,0,0.0317,0.233,0.00544,0.441,0.141,108.805,3
0wnIPcs7V0XMwtcg0yjKpg,"The World Is Not Enough","Absolute Garbage","Garbage",2007-01-01,237733,39,lastninja80,2019-11-07T15:23:36Z,"","Almo/Geffen",0.477,0.855,10,-4.612,0,0.03,0.0421,0.0843,0.126,0.462,85.806,4
2Dfe2FIfmB0y0M99aZyexu,"Die Another Day","American Life","Madonna",2003-04-22,279480,40,lastninja80,2019-11-07T15:25:09Z,"","Warner Records/Maverick",0.803,0.757,0,-7.448,0,0.0746,0.0869,0.00226,0.106,0.488,123.922,4
0nyVD16l62PwecjiiQcfpB,"You Know My Name - From Casino Royale Soundtrack","You Know My Name","Chris Cornell",2006-01-01,241080,31,lastninja80,2019-11-07T15:25:15Z,"rock acústico,grunge","Interscope",0.347,0.871,11,-3.59,0,0.0774,0.007,0,0.183,0.396,137.659,4
5UnqU47OSB8LBahj0jtjrR,"Another Way to Die","Another Way to Die","Jack White,Alicia Keys",2008-09-12,262733,0,lastninja80,2019-11-07T15:25:10Z,"blues rock,r&b,neo soul","J Records",0.541,0.772,7,-3.874,1,0.136,0.0382,0.0000848,0.0796,0.43,71.201,4
1gL3uxdq2NRLNLHtvai0kQ,"Skyfall","Lo Esencial de 1 Año de Éxitos, Vol. 5","Adele",2015-06-09,286000,24,lastninja80,2019-11-07T15:25:19Z,"pop suave","Columbia",0.331,0.532,0,-6.86,0,0.0284,0.423,0,0.112,0.0685,77.01,4
1PWnAEQcbwQwK759otUbta,"Writing's On The Wall - From Spectre Soundtrack","Writing's On The Wall","Sam Smith",2015-09-25,278987,61,lastninja80,2019-11-07T15:25:21Z,"pop suave","PLG - Capitol",0.261,0.302,5,-8.19,0,0.0339,0.769,0.00000257,0.0863,0.0883,81.418,3
73SpzrcaHk0RQPFP73vqVR,"No Time To Die","No Time To Die","Billie Eilish",2020-02-13,242265,74,lastninja80,2020-02-14T00:25:10Z,"","Darkroom/Interscope Records",0.344,0.22,4,-13.218,0,0.0365,0.917,0.0107,0.0827,0.0522,70.895,4
