"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0RiqTKzEzrD6Ss6HW3wiNw","Love Story","spotify:artist:6w6z8m4WXX7Tub4Rb6Lu7R","Jethro Tull","spotify:album:4xOhK9LXV4Kz4VI1N7lOSO","Living in the Past","spotify:artist:6w6z8m4WXX7Tub4Rb6Lu7R","Jethro Tull","1972","https://i.scdn.co/image/ab67616d0000b273af2da8ad38c25ef67c29f171","1","2","187026","https://p.scdn.co/mp3-preview/60e10e0761d5de25fbd4fbfd04f77551f69bf8c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","GBAYK7200026","spotify:user:yjwstn","2025-02-19T10:20:06Z"
"spotify:track:57460SJgSpCXaRJ9YIYHxy","Going Up The Country","spotify:artist:27a0GiCba9K9lnkKidroFU","Canned Heat","spotify:album:0TBmLh3U5sk1F8eF0twjwi","The Best Of Canned Heat","spotify:artist:27a0GiCba9K9lnkKidroFU","Canned Heat","1987-01-01","https://i.scdn.co/image/ab67616d0000b27308a9f2ae15587fa3da702ba0","1","7","171373","https://p.scdn.co/mp3-preview/482d85a6da852f944a29638aab55388a7b8db3d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USEM38700071","spotify:user:yjwstn","2025-02-19T10:20:06Z"
"spotify:track:0iOZM63lendWRTTeKhZBSC","Mrs. Robinson - From ""The Graduate"" Soundtrack","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","spotify:album:3bzgbgiytguTDnwzflAZr2","Bookends","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","1968-04-03","https://i.scdn.co/image/ab67616d0000b273d8fb5b4308dc27f210064ef4","1","10","244026","https://p.scdn.co/mp3-preview/b48d5e6bd6312c23e674b6d3c5293438190cd99b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USSM16800379","spotify:user:yjwstn","2025-02-19T10:20:06Z"
"spotify:track:5ye2aEP0ICWJgJCsawlCp3","The Sound of Silence - Overdubbed Version","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","spotify:album:6lEhCtQkWQmObGq8UWsYVU","The Essential Simon & Garfunkel","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","2003-10-14","https://i.scdn.co/image/ab67616d0000b2739ee14f281ed526f90105cdb1","1","1","185533","https://p.scdn.co/mp3-preview/348e84fd1e60c4dd3a3312c1ad62e4e84f2ea03f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USSM16401131","spotify:user:yjwstn","2025-02-19T10:20:06Z"
"spotify:track:4k1KBmLXE1Q1cFyfC6bVLH","You Got Soul","spotify:artist:0nAVvgfE9yI4DwvMiYwk8a","Johnny Nash","spotify:album:4ChdnRLOKyYnkfrEeFIPgg","The Essential Johnny Nash","spotify:artist:0nAVvgfE9yI4DwvMiYwk8a","Johnny Nash","2017-06-02","https://i.scdn.co/image/ab67616d0000b273421677772dd9abd80c48acf7","1","4","158786","https://p.scdn.co/mp3-preview/cdf6e477993ed8d9e05142d2c7023cf810f6ad7c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","GBBBN6902074","spotify:user:yjwstn","2025-02-19T10:20:06Z"
"spotify:track:1MMp1H2Kib2BCDtdL5nL63","Hey Jude","spotify:artist:0N5PyKJzS3M1XNlaCL7bbE","Wilson Pickett","spotify:album:3i8EJ0Ypi3qptjM2Q3DLIL","Hey Jude","spotify:artist:0N5PyKJzS3M1XNlaCL7bbE","Wilson Pickett","1969","https://i.scdn.co/image/ab67616d0000b273ca0ade06cdd329b4b9af7cca","1","2","247733","https://p.scdn.co/mp3-preview/1e3e472af9da17a01ab82fbb1a1d7c339f7896cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USAT29902218","spotify:user:yjwstn","2025-02-19T10:20:06Z"
"spotify:track:0XpxP4P8NLegFrZij9BYHx","Hang 'Em High - From the Motion Picture ""Hang 'Em High""","spotify:artist:0nAYZn357xMuhaIrsW5mMC","Hugo Montenegro & His Orchestra and Chorus","spotify:album:3NQcZsz64DMjqH6foW16I4","Hang 'Em High","spotify:artist:0nAYZn357xMuhaIrsW5mMC","Hugo Montenegro & His Orchestra and Chorus","1968-06-24","https://i.scdn.co/image/ab67616d0000b27337f369d91bd8a7b1b87ac985","1","1","131640","https://p.scdn.co/mp3-preview/7bfb88ad0b211735390c6ffb533397f532766e85?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","USRC11801641","spotify:user:yjwstn","2025-02-19T10:20:06Z"
"spotify:track:6Cnj7gMB5ZwI5Nn290wSRj","Dancing In The Street","spotify:artist:1Pe5hlKMCTULjosqZ6KanP","Martha Reeves & The Vandellas","spotify:album:1euz2VK3QEItULCCyhoDo6","Motown Gold","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Varios Artistas","2001-01-01","https://i.scdn.co/image/ab67616d0000b27343f165f1cbd80d8ebca5650e","1","14","158853","https://p.scdn.co/mp3-preview/6c26960ba87ad8f8b4ae0ed884804d3da13c57b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USMO16400446","spotify:user:yjwstn","2025-02-19T10:20:06Z"
"spotify:track:3oXorZhe7xw9FnK7kJqWpZ","To Love Somebody","spotify:artist:7G1GBhoKtEPnP86X2PvEYO","Nina Simone","spotify:album:5Dh4qVmcMpDv5qhgdaqGtj","The Very Best Of Nina Simone 1967-1972 - Sugar In My Bowl","spotify:artist:7G1GBhoKtEPnP86X2PvEYO","Nina Simone","1998-07-28","https://i.scdn.co/image/ab67616d0000b273a62f89ed451a7e568404b106","1","14","161200","https://p.scdn.co/mp3-preview/1fe9d2d3d939035a7a4699370e811672f3018ebf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USRC16707316","spotify:user:yjwstn","2025-02-19T10:20:06Z"
"spotify:track:0C5ex13H3zRMsqSROZu78W","I Put A Spell On You","spotify:artist:7G1GBhoKtEPnP86X2PvEYO","Nina Simone","spotify:album:13jolTb1DQl8IVPczYtQJ3","I Put A Spell On You","spotify:artist:7G1GBhoKtEPnP86X2PvEYO","Nina Simone","1965-06","https://i.scdn.co/image/ab67616d0000b273f7b8b3f78525d5724b5f36a0","1","1","155026","https://p.scdn.co/mp3-preview/7993e01eef7cc70938d42cc8bd7608016e887428?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USPR36600001","spotify:user:yjwstn","2025-02-19T10:20:06Z"
"spotify:track:1JFokj0oY1vvvoyQ29tWzB","I Guess I'll Always Love You","spotify:artist:53QzNeFpzAaXYnrDBbDrIp","The Isley Brothers","spotify:album:1euz2VK3QEItULCCyhoDo6","Motown Gold","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Varios Artistas","2001-01-01","https://i.scdn.co/image/ab67616d0000b27343f165f1cbd80d8ebca5650e","2","11","159226","https://p.scdn.co/mp3-preview/ab47bb9ae9e5ac6c9100a1d2036f7fe65ee0c37b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USMO16682777","spotify:user:yjwstn","2025-02-19T10:20:06Z"
"spotify:track:5m4AVEkXwbXA8gX33zfS4s","Ring Of Fire","spotify:artist:70tMW5bZT3TJUa1CWtfVkq","Eric Burdon & the Animals","spotify:album:7HkaSGmwGGAbV2FkHY8KZf","Love Is","spotify:artist:70tMW5bZT3TJUa1CWtfVkq","Eric Burdon & the Animals","1968-01-01","https://i.scdn.co/image/ab67616d0000b2732ce5f85dfd69e84929242bb4","1","4","297080","https://p.scdn.co/mp3-preview/7b68702274fc5dcad75a3e316b538465ae2ad698?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUR10080013","spotify:user:yjwstn","2025-02-19T10:20:06Z"
"spotify:track:310v4j8Mnda0oAg2E8Ml1a","People","spotify:artist:0a1BmEq1mZ5ufKMC2fsziR","The Tymes","spotify:album:5EtaPlEzlBfe184gs2AGTQ","People","spotify:artist:0a1BmEq1mZ5ufKMC2fsziR","The Tymes","1968-02-07","https://i.scdn.co/image/ab67616d0000b27374f243ddcadf040f3aaa6211","1","7","187653","https://p.scdn.co/mp3-preview/7e887ca2c04a93f814451534c1ede9ea4fba46d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USRC10900223","spotify:user:yjwstn","2025-02-19T10:20:06Z"
"spotify:track:5X76oXHcR5uCXali0gOyX5","White Room","spotify:artist:74oJ4qxwOZvX6oSsu1DGnw","Cream","spotify:album:4M9csrFM1XVEpwMeYUBRmX","Wheels Of Fire (Remastered)","spotify:artist:74oJ4qxwOZvX6oSsu1DGnw","Cream","1968-07-01","https://i.scdn.co/image/ab67616d0000b273a3fe725af4ddc7e2745b0603","1","1","303200","https://p.scdn.co/mp3-preview/1e5f8d2a744179d883d2f052047f143b126e5ce0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBA076800030","spotify:user:yjwstn","2025-02-19T10:20:06Z"
"spotify:track:3K4fsAaL0x6UncsQDjPoJT","I'll Pick A Rose For My Rose - Single Version (Mono)","spotify:artist:40PAEtNxO98lBeQHCza9vA","Marv Johnson","spotify:album:5uY9gBGGqtvyllXlI7ILH4","HitsVille UK:Motown In Britain","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Varios Artistas","2005-01-01","https://i.scdn.co/image/ab67616d0000b27345dac504ca114636f24ef11b","1","13","154426","https://p.scdn.co/mp3-preview/fed59cdc02af308bebb3f9f178431e4995a01d47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USMO16882634","spotify:user:yjwstn","2025-02-19T10:20:06Z"
"spotify:track:3KkCUIn7H0bUBFm0KoMRg8","You Ain't Livin' Till You're Lovin' - Stereo Version","spotify:artist:3koiLjNrgRTNbOwViDipeA, spotify:artist:75jNCko3SnEMI5gwGqrbb8","Marvin Gaye, Tammi Terrell","spotify:album:2FJv3jHewcKaYT506ny93J","20th Century Masters: The Millennium Collection: The Best Of Marvin Gaye & Tammi Terrell","spotify:artist:75jNCko3SnEMI5gwGqrbb8, spotify:artist:3koiLjNrgRTNbOwViDipeA","Tammi Terrell, Marvin Gaye","2000-01-01","https://i.scdn.co/image/ab67616d0000b2736bce6bc77a77dbe2063d16f6","1","10","168400","https://p.scdn.co/mp3-preview/52ded053ecf687dfdf0c527b1c484c3a909912f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USMO19290035","spotify:user:yjwstn","2025-02-19T10:20:06Z"
