Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0RiqTKzEzrD6Ss6HW3wiNw,"Love Story","Living in the Past","Jethro Tull",1972,187026,17,yjwstn,2025-02-19T10:20:06Z,"rock progresivo,rock sinfónico,art rock,rock clásico","Parlophone UK",0.385,0.571,2,-14.989,1,0.0743,0.568,0.0000181,0.149,0.583,160.613,4
57460SJgSpCXaRJ9YIYHxy,"Going Up The Country","The Best Of Canned Heat","Canned Heat",1987-01-01,171373,56,yjwstn,2025-02-19T10:20:06Z,"blues rock,blues,classic blues","Parlophone Catalogue",0.653,0.239,5,-18.54,0,0.0453,0.806,0.0146,0.132,0.765,80.392,4
0iOZM63lendWRTTeKhZBSC,"Mrs. Robinson - From The Graduate Soundtrack","Bookends","Simon & Garfunkel",1968-04-03,244026,73,yjwstn,2025-02-19T10:20:06Z,"folk rock,folk","Columbia",0.606,0.457,6,-14.035,0,0.0497,0.713,0.0000253,0.0747,0.813,92.033,4
5ye2aEP0ICWJgJCsawlCp3,"The Sound of Silence - Overdubbed Version","The Essential Simon & Garfunkel","Simon & Garfunkel",2003-10-14,185533,0,yjwstn,2025-02-19T10:20:06Z,"folk rock,folk","Columbia",0.432,0.388,6,-12.398,1,0.0299,0.202,0.0000387,0.134,0.481,106.653,4
4k1KBmLXE1Q1cFyfC6bVLH,"You Got Soul","The Essential Johnny Nash","Johnny Nash",2017-06-02,158786,12,yjwstn,2025-02-19T10:20:06Z,"","Sony Music UK",0.483,0.405,2,-12.389,1,0.0375,0.0127,0.00000103,0.0764,0.652,173.444,4
1MMp1H2Kib2BCDtdL5nL63,"Hey Jude","Hey Jude","Wilson Pickett",1969,247733,45,yjwstn,2025-02-19T10:20:06Z,"motown,soul,northern soul","Rhino Atlantic",0.561,0.385,6,-15.33,1,0.0323,0.146,0.000496,0.171,0.664,81.599,4
0XpxP4P8NLegFrZij9BYHx,"Hang 'Em High - From the Motion Picture Hang 'Em High","Hang 'Em High","Hugo Montenegro & His Orchestra and Chorus",1968-06-24,131640,13,yjwstn,2025-02-19T10:20:06Z,"exótica","RCA/Legacy",0.514,0.642,0,-8.609,1,0.0368,0.47,0.707,0.0853,0.66,125.32,4
6Cnj7gMB5ZwI5Nn290wSRj,"Dancing In The Street","Motown Gold","Martha Reeves & The Vandellas",2001-01-01,158853,0,yjwstn,2025-02-19T10:20:06Z,"motown,northern soul,soul","UMOD (Universal Music On Demand)",0.567,0.788,11,-7.141,0,0.0384,0.176,0.0000535,0.108,0.679,126.939,4
3oXorZhe7xw9FnK7kJqWpZ,"To Love Somebody","The Very Best Of Nina Simone 1967-1972 - Sugar In My Bowl","Nina Simone",1998-07-28,161200,27,yjwstn,2025-02-19T10:20:06Z,"vocal jazz,jazz blues,soul jazz,soul,jazz,blues","RCA Records Label",0.488,0.544,9,-8.58,1,0.0388,0.344,0,0.136,0.523,89.975,4
0C5ex13H3zRMsqSROZu78W,"I Put A Spell On You","I Put A Spell On You","Nina Simone",1965-06,155026,0,yjwstn,2025-02-19T10:20:06Z,"vocal jazz,jazz blues,soul jazz,soul,jazz,blues","Universal Music Group",0.42,0.398,6,-9.13,0,0.0296,0.755,0.000537,0.172,0.364,88.897,3
1JFokj0oY1vvvoyQ29tWzB,"I Guess I'll Always Love You","Motown Gold","The Isley Brothers",2001-01-01,159226,0,yjwstn,2025-02-19T10:20:06Z,"motown,soul,quiet storm,northern soul","UMOD (Universal Music On Demand)",0.582,0.73,5,-7.255,1,0.0606,0.593,0,0.873,0.75,140.298,4
5m4AVEkXwbXA8gX33zfS4s,"Ring Of Fire","Love Is","Eric Burdon & the Animals",1968-01-01,297080,0,yjwstn,2025-02-19T10:20:06Z,"rock psicodélico,rock ácido","Universal Music Group",0.394,0.6,7,-7.142,1,0.0341,0.258,0.0000473,0.437,0.46,87.667,4
