Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0UJuCMaUwkG0kDAV27vWR2,"Andante, Andante","Super Trouper","ABBA",1980,278880,0,mcastet,2017-06-16T20:18:19Z,"","Universal Music Group",0.52,0.361,10,-10.721,1,0.0236,0.67,0.00039,0.0683,0.397,101.345,3
4ezQNclWJhzDmqYlv9qNIj,"Angel Eyes","Voulez-Vous","ABBA",1979,261773,0,mcastet,2017-06-16T20:18:52Z,"","Universal Music Group",0.717,0.916,11,-6.047,1,0.0344,0.543,0.000156,0.0854,0.964,133.144,4
0yUuFRkVsQ9PnTp2Ni5xVL,"Another Town, Another Train","Ring Ring","ABBA",1973,192093,0,mcastet,2017-06-16T20:19:11Z,"","Universal Music Group",0.629,0.63,0,-8.957,1,0.0329,0.437,0.00000164,0.142,0.839,123.201,4
30a68RyhjUjCxLf6JehuYR,"Arrival","Arrival","ABBA",1976-10-11,180426,0,mcastet,2017-06-16T20:19:40Z,"","Universal Music Group",0.232,0.491,1,-7.328,1,0.0329,0.689,0.938,0.0662,0.153,69.612,3
1K6YVvlrHhYzhYQMK80cCS,"As Good As New","Voulez-Vous","ABBA",1979,206026,0,mcastet,2017-06-16T20:20:51Z,"","Universal Music Group",0.844,0.79,4,-5.695,1,0.0321,0.189,0.0205,0.0774,0.968,138.852,4
4cUlsJa5fLvsSnByfE2Pcp,"Bang-A-Boomerang","Abba","ABBA",1975,185266,0,mcastet,2017-06-16T20:21:14Z,"","Universal Music Group",0.502,0.807,5,-3.438,1,0.0311,0.0299,0.000357,0.183,0.726,132.024,4
4dmSIn2DxtfX1rySnUDamj,"Bumblebee","Voyage","ABBA",2021-11-05,237466,42,mcastet,2021-11-04T23:03:45Z,"","Polar Music International AB",0.455,0.271,10,-11.129,1,0.0295,0.722,0.000138,0.31,0.227,135.016,3
19Gf68A2MZPr6fYlxLhmU7,"Cassandra","The Visitors","ABBA",1981,296704,0,mcastet,2017-06-16T20:21:26Z,"","Universal Music Group",0.414,0.49,0,-7.679,1,0.0365,0.737,0,0.0577,0.423,159.722,3
5j7T9ThNlDKXxTMX2pGcns,"Chiquitita","Voulez-Vous","ABBA",1979,328000,0,mcastet,2017-06-16T20:21:46Z,"","Universal Music Group",0.51,0.558,9,-8.121,1,0.0351,0.73,0.00000393,0.29,0.342,84.238,4
7lKI8neNl1qgxgp4s0ctiV,"Crazy World","Abba","ABBA",1975,227373,0,mcastet,2017-06-16T20:22:15Z,"","Universal Music Group",0.49,0.602,8,-9.083,1,0.0331,0.429,0.0000485,0.201,0.532,135.429,4
5G8l4JNjNOnji5Ez9bCwMa,"Dance (While The Music Still Goes On)","Waterloo (Deluxe Edition)","ABBA",1974-03-04,193093,0,mcastet,2017-06-16T20:22:30Z,"","Universal Music Group",0.585,0.794,2,-8.361,1,0.0588,0.261,0,0.103,0.585,131.189,4
01iyCAUm8EvOFqVWYJ3dVX,"Dancing Queen","Arrival","ABBA",1976-10-11,230400,2,mcastet,2017-06-16T20:22:45Z,"","Universal Music Group",0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,4
63QPJDVVmyZnZCeNLOevGc,"Disillusion","Ring Ring","ABBA",1973,184280,0,mcastet,2017-06-16T20:22:59Z,"","Universal Music Group",0.569,0.428,7,-9.66,1,0.0282,0.724,0.00000299,0.101,0.439,141.951,4
2VsVI2mOkZ5s0eEA9MQLN4,"Does Your Mother Know","Voulez-Vous","ABBA",1979,194720,0,mcastet,2017-06-16T20:23:14Z,"","Universal Music Group",0.727,0.862,7,-5.678,1,0.0365,0.145,0.0000427,0.0917,0.972,135.637,4
2AHnmlkyZbnxqSA66B7jK3,"Don't Shut Me Down","I Still Have Faith In You / Don't Shut Me Down","ABBA",2021-09-02,238800,57,mcastet,2021-09-03T07:29:48Z,"","Polar Music International AB",0.719,0.604,0,-7.395,1,0.0281,0.105,0,0.107,0.565,99.993,4
