"URI de la canción","Nombre de la canción","URI(s) del artista","Nombre(s) del artista","URI del álbum","Nombre del álbum","URI(s) del artista del álbum","Nombre(s) del artista del álbum","Fecha de lanzamiento del álbum","URL de la imagen del álbum","Número de disco","Número de la canción","Duración de la canción (ms)","URL de vista previa de la canción","Explícito","Popularidad","ISRC","Añadido por","Añadido en"
"spotify:track:0UJuCMaUwkG0kDAV27vWR2","Andante, Andante","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:1nVUhbpkGwlTKxSIF6UJyM","Super Trouper","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1980","https://i.scdn.co/image/ab67616d0000b273226c848268e693f3812e7e69","1","4","278880","https://p.scdn.co/mp3-preview/3151a540add68197453d82486b7303941db7e124?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","SEAYD8001040","spotify:user:mcastet","2017-06-16T20:18:19Z"
"spotify:track:4ezQNclWJhzDmqYlv9qNIj","Angel Eyes","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:366R23DbfxqjZo6AUBrQjv","Voulez-Vous","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1979","https://i.scdn.co/image/ab67616d0000b2731da6e1da33a17f14599641d5","1","4","261773","https://p.scdn.co/mp3-preview/df743482a82573f3c13c632f30e04373dab7df8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","SEAYD7901040","spotify:user:mcastet","2017-06-16T20:18:52Z"
"spotify:track:0yUuFRkVsQ9PnTp2Ni5xVL","Another Town, Another Train","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:1IfqW9mCyH8l8uh8dz5R5v","Ring Ring","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1973","https://i.scdn.co/image/ab67616d0000b273cb4998105cfac34be700fdf9","1","2","192093","https://p.scdn.co/mp3-preview/be07a21986d73b25ded5828a6ed7f1904c3c2484?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","SEAYD7301020","spotify:user:mcastet","2017-06-16T20:19:11Z"
"spotify:track:30a68RyhjUjCxLf6JehuYR","Arrival","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:79ZX48114T8NH36MnOTtl7","Arrival","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1976-10-11","https://i.scdn.co/image/ab67616d0000b2739aa209383c254c9e23e7f909","1","10","180426","https://p.scdn.co/mp3-preview/6b26f86992d0ac755674cf2922064d7576cf7d8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","SEAYD7601100","spotify:user:mcastet","2017-06-16T20:19:40Z"
"spotify:track:1K6YVvlrHhYzhYQMK80cCS","As Good As New","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:366R23DbfxqjZo6AUBrQjv","Voulez-Vous","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1979","https://i.scdn.co/image/ab67616d0000b2731da6e1da33a17f14599641d5","1","1","206026","https://p.scdn.co/mp3-preview/374024cb762e3abe5f75fcb88510dc63878c6064?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","SEAYD7901010","spotify:user:mcastet","2017-06-16T20:20:51Z"
"spotify:track:4cUlsJa5fLvsSnByfE2Pcp","Bang-A-Boomerang","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:5zT1JLIj9E57p3e1rFm9Uq","Abba","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1975","https://i.scdn.co/image/ab67616d0000b27379e86d08eb947241b3a9247c","1","6","185266","https://p.scdn.co/mp3-preview/92ecd88c5b5bf7b287054fa2c6b2ba4eb6b99faa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","SEAYD7501060","spotify:user:mcastet","2017-06-16T20:21:14Z"
"spotify:track:4dmSIn2DxtfX1rySnUDamj","Bumblebee","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:0uUtGVj0y9FjfKful7cABY","Voyage","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","2021-11-05","https://i.scdn.co/image/ab67616d0000b273225d9c1b06ca69aec9b08381","1","8","237466","https://p.scdn.co/mp3-preview/e30762659b0d11847267bde80202efc8b09fc5bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","SE6XG2100108","spotify:user:mcastet","2021-11-04T23:03:45Z"
"spotify:track:19Gf68A2MZPr6fYlxLhmU7","Cassandra","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:0lXoZDB0yfxncR0cyrWDmf","The Visitors","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1981","https://i.scdn.co/image/ab67616d0000b27373ffcfc0a6c49a606af9e1c2","1","12","296704","https://p.scdn.co/mp3-preview/ac4bbfe5e32adabe8e3c6c4c394b77876102848d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","SEAYD8208010","spotify:user:mcastet","2017-06-16T20:21:26Z"
"spotify:track:5j7T9ThNlDKXxTMX2pGcns","Chiquitita","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:366R23DbfxqjZo6AUBrQjv","Voulez-Vous","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1979","https://i.scdn.co/image/ab67616d0000b2731da6e1da33a17f14599641d5","1","8","328000","https://p.scdn.co/mp3-preview/4bcd305c73b4f060989624769b1b3c9cd4223eb6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","SEAYD7901080","spotify:user:mcastet","2017-06-16T20:21:46Z"
"spotify:track:7lKI8neNl1qgxgp4s0ctiV","Crazy World","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:5zT1JLIj9E57p3e1rFm9Uq","Abba","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1975","https://i.scdn.co/image/ab67616d0000b27379e86d08eb947241b3a9247c","1","12","227373","https://p.scdn.co/mp3-preview/2750e33c4b189ee82f4b7a7dfa28da6ed77ae152?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","SEAYD7601120","spotify:user:mcastet","2017-06-16T20:22:15Z"
