Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3ijeTyo5ggRvM0DTfZflBB,"Refrain","Lys Assia Vol. 4","Lys Assia",2011-06-17,193840,15,florentine.zimmermann,2023-11-18T09:26:16Z,"schlager","Documents",0.376,0.276,0,-10.135,1,0.0418,0.954,0.00031,0.057,0.294,103.727,4
1I9fugKDEYETuxJME3aesv,"Net Als Toen","Vlaamse Legenden, Vol. 6","Corry Brokken",2012-02-10,206040,13,florentine.zimmermann,2023-11-18T09:26:25Z,"nederpop","Disky",0.38,0.288,8,-10.331,1,0.0381,0.936,0,0.114,0.463,123.021,4
3W05oiilHd4xRcLb66N51o,"Dors mon amour","Dors mon amour","André Claveau",2018-07-11,193789,2,florentine.zimmermann,2023-11-18T09:26:50Z,"chanson,jazz francés","French Music Collection",0.338,0.44,8,-9.073,1,0.0384,0.917,0.0000127,0.148,0.213,116.259,4
6fQfOgajFEdUTOvAQNoinK,"Een Beetje","Vlaamse Legenden, Vol. 3","Teddy Scholten",2012-02-10,181200,37,florentine.zimmermann,2023-11-18T09:26:56Z,"","Disky",0.542,0.231,0,-15.577,0,0.0899,0.865,0,0.0796,0.482,130.886,5
2ExzWeo5f3FL9pn61hhOJp,"Tom Pillibi","Oh là là, la France!","Jacqueline Boyer",2016-12-16,184389,0,florentine.zimmermann,2023-11-18T09:27:28Z,"schlager","Trama",0.424,0.341,11,-9.904,0,0.0345,0.979,0.0109,0.306,0.571,137.916,4
35PWl4T8d2U3a5AboajXXw,"Nous les amoureux","nous les amoureux","Jean-Claude Pascal",1997,187106,25,florentine.zimmermann,2023-11-18T09:27:35Z,"chanson,jazz francés","Parlophone (France)",0.418,0.281,9,-12.761,0,0.0351,0.961,0.0000575,0.115,0.251,116.433,4
64EE5jxbZLyb2SElNSyuUD,"Un premier amour","Chanson Française","Isabelle Aubret",2010-01-01,152586,0,florentine.zimmermann,2023-11-18T09:27:40Z,"chanson","Universal Music Group",0.392,0.329,2,-11.162,0,0.0347,0.843,0.00000209,0.127,0.464,96.071,4
1oIVUqdVUFouSa6xsSN5aM,"Dansevise","16 Hits","Grethe Ingmann,Jørgen Ingmann",1992,177293,26,florentine.zimmermann,2023-11-18T09:27:45Z,"dansktop","Parlophone Denmark",0.429,0.474,9,-5.789,0,0.0258,0.718,0,0.111,0.467,99.689,3
07rZol7bEXJSUHIcwah0eq,"Non ho l'età (Per amarti)","Non ho l'eta'","Gigliola Cinquetti",1983,199386,44,florentine.zimmermann,2023-11-18T09:27:52Z,"bolero","CGD/EastWest Italy",0.367,0.214,5,-12.509,1,0.0294,0.851,0.000126,0.103,0.346,97.18,4
68jKFhKRqnatqtLYIiz3c1,"Poupee de cire poupee de son","Poupee de cire poupee de son","France Gall",1965,153346,0,florentine.zimmermann,2023-11-18T09:27:58Z,"variété française,chanson,pop francés,house francés","Magenta",0.523,0.46,1,-12.336,1,0.0315,0.854,0.00000878,0.131,0.753,147.57,4
07MEgnJdMyU2vNjOMskxSu,"Merci Chérie","Best Of","Udo Jürgens",2009-09-25,194560,34,florentine.zimmermann,2023-11-18T09:28:03Z,"schlager,neue deutsche welle","Ariola",0.269,0.534,5,-7.726,1,0.0292,0.49,0.00159,0.192,0.22,153.957,3
7f5w4aiYgVZrp9w4bNaBLu,"Puppet On A String","Love Me, Please Love Me (Deluxe Edition)","Sandie Shaw",1967-01-01,143000,48,florentine.zimmermann,2023-11-18T09:28:09Z,"","UMC (Universal Music Catalogue)",0.724,0.606,0,-9.015,1,0.0497,0.405,0,0.054,0.956,124.412,4
1ApXNkjfjxkSDoezO8Kh8g,"La, La, La","Lo Mejor de Massiel","Massiel",1966,152600,35,florentine.zimmermann,2023-11-18T09:28:14Z,"","Sony Music Entertainment",0.337,0.644,11,-4.15,1,0.0352,0.245,0.000639,0.149,0.555,124.095,3
31VRNSB6FA4KP7TOkW3k3A,"De Troubadour","De Troubadour","Lenny Kuhr",1969-01-01,206493,19,florentine.zimmermann,2023-11-18T09:28:18Z,"nederpop","Universal Music, a division of Universal International Music BV",0.386,0.299,1,-11.281,0,0.0554,0.805,0,0.143,0.524,89.578,1
0vaRIQTdMIEnXjhWlVS95p,"Boom Bang a Bang","I'm A Tiger","Lulu",1989-12-01,142373,32,florentine.zimmermann,2023-11-18T09:28:25Z,"","PMI Digital",0.368,0.581,10,-10.375,1,0.0333,0.121,0.000139,0.0874,0.668,183.239,3
059G9tpE3kl6wz3kiddaN0,"Vivo Cantando","Todo Lo Mejor","Salomé",2003-05-30,130493,32,florentine.zimmermann,2023-11-18T09:28:30Z,"","Divucsa",0.466,0.746,1,-6.484,1,0.0496,0.652,0,0.091,0.82,131.264,4
1XNnJeGSYasJctGndU8mCu,"Un jour, un enfant","Chanson Française","Frida Boccara",2010-01-01,161453,0,florentine.zimmermann,2023-11-18T09:28:34Z,"chanson","Universal Music Group",0.235,0.298,8,-10.561,1,0.0334,0.841,0.00000771,0.117,0.125,103.657,4
2kwAhlh7BDsJkES19zaYqs,"All Kinds Of Everything","Girls","Dana",2003-01-01,181093,0,florentine.zimmermann,2023-11-18T09:28:40Z,"","Universal Music",0.539,0.537,10,-3.403,1,0.0257,0.814,0.00000141,0.282,0.652,103.191,3
15mVQWoiwjwXrs5LBybM0A,"Un Banc, Un Arbre, Une Rue","Severine en Français","Severine",2013-09-13,230866,21,florentine.zimmermann,2023-11-18T09:28:45Z,"","2013 Autarc Media GmbH, CH.",0.379,0.791,11,-4.859,1,0.0495,0.289,0,0.321,0.695,171.672,4
13tx9je0ftBgu6BKpsQDo4,"Après toi","Vicky Leandros (Originale)","Vicky Leandros",2015-07-24,212986,31,florentine.zimmermann,2023-11-18T09:28:51Z,"schlager","Electrola",0.35,0.463,5,-7.271,1,0.0274,0.539,0.0000393,0.173,0.497,105.79,4
3682WlWtLmx44QNpB6Py4X,"Tu te reconnaitras","Anne-Marie David","Anne-Marie David",1973-04-07,159013,37,florentine.zimmermann,2023-11-18T09:33:19Z,"","Sony Music Entertainment",0.544,0.669,3,-4.314,0,0.0283,0.651,0.00000135,0.178,0.462,100.473,3
1CsuK5dlnWAkWhffeteqH3,"Waterloo","ABBA Gold","ABBA",2008-01-01,165800,0,florentine.zimmermann,2023-11-18T09:33:29Z,"","Universal Music Group",0.414,0.944,2,-2.87,1,0.0486,0.231,0.0000213,0.336,0.723,147.216,4
4ARCWS3l327M1YulCf74Uu,"Ding-A-Dong","Festival, Get On Board","Teach In",1980,149573,0,florentine.zimmermann,2023-11-18T09:33:34Z,"nederpop,europop","Red Bullet",0.708,0.561,9,-15.148,0,0.0367,0.512,0.00000166,0.141,0.929,139.199,4
0E19RAvUkhjMM0rdICkidE,"Save Your Kisses For Me","Pop Masters: Angelo","Brotherhood of Man",2005-11-17,184733,24,florentine.zimmermann,2023-11-18T09:33:39Z,"","Carinco AG",0.544,0.556,7,-11.006,1,0.0887,0.303,0,0.107,0.835,184.809,4
7Hy0CZtFcREucLDXB5jp6m,"L'oiseau et l'enfant","Sentimentale","Marie Myriam",1988-03-15,183413,48,florentine.zimmermann,2023-11-18T09:33:45Z,"chanson,variété française","Laureen Music",0.742,0.241,2,-14.751,1,0.0349,0.846,0,0.101,0.335,102.857,4
1njC0GQXuhxnplvR9DK6NZ,"אבניבי","אהוד מנור- ימי בנימינה - 62 משיריו היפים","Izhar Cohan",2005-07-31,179413,0,florentine.zimmermann,2023-11-18T09:34:00Z,"","NMC United Entertainment Ltd.",0.562,0.966,0,-4.81,0,0.154,0.116,0,0.0984,0.555,143.623,4
557ZG0nAvOppPxR3e1DP42,"הללויה","להיטי הזהב","חלב ודבש,Gali Atari",1995,200720,26,florentine.zimmermann,2023-11-18T09:34:04Z,"mizrají","Unicell",0.519,0.523,1,-9.93,1,0.0295,0.523,0.00000592,0.145,0.558,133.9,4
