Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1m7WXN6V99NabqaKvPzSXV,"Keep Yourself Alive - 2011 Mix","Queen (Deluxe Remastered Version)","Queen",1973-07-13,226720,36,6ford88nutsuzbicxnwenhltu,2022-10-13T17:36:31Z,"rock clásico,rock,glam rock","Hollywood Records",0.419,0.721,2,-9.498,1,0.0792,0.25,0.0000417,0.104,0.593,134.204,4
2V0yBHMWB8GoMm80AXH4ot,"Doing All Right - Remastered 2011","Queen (Deluxe Remastered Version)","Queen",1973-07-13,249213,19,6ford88nutsuzbicxnwenhltu,2022-10-13T17:36:31Z,"rock clásico,rock,glam rock","Hollywood Records",0.341,0.293,9,-12.408,1,0.0356,0.756,0.0000231,0.0833,0.178,93.294,4
57uAYnfX1UHDWn5tD1xbFf,"Great King Rat - Remastered 2011","Queen (Deluxe Remastered Version)","Queen",1973-07-13,343013,17,6ford88nutsuzbicxnwenhltu,2022-10-13T17:36:31Z,"rock clásico,rock,glam rock","Hollywood Records",0.35,0.851,4,-12.363,0,0.208,0.0404,0.000619,0.115,0.428,135.276,4
3el6VEytmQFhAsyjjrW8gU,"My Fairy King - Remastered 2011","Queen (Deluxe Remastered Version)","Queen",1973-07-13,248160,16,6ford88nutsuzbicxnwenhltu,2022-10-13T17:36:31Z,"rock clásico,rock,glam rock","Hollywood Records",0.314,0.536,5,-10.059,1,0.0322,0.35,0.0085,0.127,0.276,99.812,4
5o6VEJfhYj9Ubp73tmwl6t,"Liar - Remastered 2011","Queen (Deluxe Remastered Version)","Queen",1973-07-13,383920,29,6ford88nutsuzbicxnwenhltu,2022-10-13T17:36:31Z,"rock clásico,rock,glam rock","Hollywood Records",0.261,0.787,2,-7.227,1,0.212,0.00279,0.0626,0.178,0.267,149.084,4
24GGy0FG3rGF5GFzQcciyK,"The Night Comes Down - Remastered 2011","Queen (Deluxe Remastered Version)","Queen",1973-07-13,263026,16,6ford88nutsuzbicxnwenhltu,2022-10-13T17:36:31Z,"rock clásico,rock,glam rock","Hollywood Records",0.402,0.569,7,-12.319,1,0.059,0.683,0.0022,0.423,0.67,143.466,4
7FlNiJms6DshM6rtsyVjpy,"Modern Times Rock 'n’ Roll - Remastered 2011","Queen (Deluxe Remastered Version)","Queen",1973-07-13,108173,14,6ford88nutsuzbicxnwenhltu,2022-10-13T17:36:31Z,"rock clásico,rock,glam rock","Hollywood Records",0.47,0.934,4,-9.208,0,0.0673,0.0635,0.000057,0.862,0.513,115.763,4
7sIrlEH2DPYlKnnHYVRcCg,"Son And Daughter - Remastered 2011","Queen (Deluxe Remastered Version)","Queen",1973-07-13,199546,20,6ford88nutsuzbicxnwenhltu,2022-10-13T17:36:31Z,"rock clásico,rock,glam rock","Hollywood Records",0.328,0.716,4,-7.769,1,0.0432,0.139,0.023,0.354,0.744,144.869,4
1BYj5HAhoqErf0g67l8QKP,"Jesus - Remastered 2011","Queen (Deluxe Remastered Version)","Queen",1973-07-13,224173,14,6ford88nutsuzbicxnwenhltu,2022-10-13T17:36:31Z,"rock clásico,rock,glam rock","Hollywood Records",0.356,0.74,11,-7.077,0,0.163,0.153,0.00000104,0.165,0.531,114.756,4
3x6Nn1pAbjTQqbIIlGLJOh,"Seven Seas Of Rhye - Remastered 2011","Queen (Deluxe Remastered Version)","Queen",1973-07-13,76586,17,6ford88nutsuzbicxnwenhltu,2022-10-13T17:36:31Z,"rock clásico,rock,glam rock","Hollywood Records",0.303,0.485,2,-13.346,1,0.0421,0.726,0.953,0.207,0.0451,107.148,4
69Yw7H4bRIwfIxL0ZCZy8y,"Procession - Remastered 2011","Queen II (Deluxe Remastered Version)","Queen",1974-03-08,73133,18,6ford88nutsuzbicxnwenhltu,2022-10-13T17:37:28Z,"rock clásico,rock,glam rock","Hollywood Records",0.324,0.0689,7,-23.454,1,0.0427,0.69,0.0495,0.136,0.384,120.955,3
5GGSjXZeTgX9sKYBtl8K6U,"Father To Son - Remastered 2011","Queen II (Deluxe Remastered Version)","Queen",1974-03-08,373853,21,6ford88nutsuzbicxnwenhltu,2022-10-13T17:37:28Z,"rock clásico,rock,glam rock","Hollywood Records",0.171,0.646,0,-11.086,1,0.0547,0.212,0.0000665,0.191,0.224,147.384,4
0Ssh20fuVhmasLRJ97MLnp,"White Queen (As It Began) - Remastered 2011","Queen II (Deluxe Remastered Version)","Queen",1974-03-08,273200,25,6ford88nutsuzbicxnwenhltu,2022-10-13T17:37:28Z,"rock clásico,rock,glam rock","Hollywood Records",0.244,0.297,9,-12.435,0,0.0358,0.83,0.0000316,0.133,0.167,152.769,4
2LasW39KJDE4VH9hTVNpE2,"Some Day One Day - Remastered 2011","Queen II (Deluxe Remastered Version)","Queen",1974-03-08,262200,20,6ford88nutsuzbicxnwenhltu,2022-10-13T17:37:28Z,"rock clásico,rock,glam rock","Hollywood Records",0.346,0.574,2,-13.874,1,0.0352,0.259,0.0144,0.079,0.705,115.471,4
6jXrIu3hWbmJziw34IHIwM,"The Loser In The End - Remastered 2011","Queen II (Deluxe Remastered Version)","Queen",1974-03-08,241186,18,6ford88nutsuzbicxnwenhltu,2022-10-13T17:37:28Z,"rock clásico,rock,glam rock","Hollywood Records",0.381,0.811,2,-8.023,1,0.154,0.034,0.00000254,0.152,0.682,145.124,4
