"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1H5tvpoApNDxvxDexoaAUo","Who Let The Dogs Out","spotify:artist:67FFKYikvTlvsPNk4NPOYJ","Baha Men","spotify:album:44UH34qoCNNfEqo0VnOkGd","Who Let The Dogs Out","spotify:artist:67FFKYikvTlvsPNk4NPOYJ","Baha Men","2000","https://i.scdn.co/image/ab67616d0000b27336c901204dd54a716c64932b","1","1","198400","https://p.scdn.co/mp3-preview/0c16f15b590639023663ed46d3aa1dfe184a1efe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USSC90000001","spotify:user:yjwstn","2025-02-03T17:39:12Z"
"spotify:track:39lSeqnyjZJejRuaREfyLL","Hungry Like the Wolf - 2009 Remaster","spotify:artist:0lZoBs4Pzo7R89JM9lxwoT","Duran Duran","spotify:album:02tfQwJSOLP77oCd9U8bqm","Rio (Collector's Edition)","spotify:artist:0lZoBs4Pzo7R89JM9lxwoT","Duran Duran","1982-05-10","https://i.scdn.co/image/ab67616d0000b27316c75e2dd2654d7d03f2c556","1","4","220626","https://p.scdn.co/mp3-preview/2a75c1b7c9d5aa716edc8162b19da4d627e0be43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBAYE0901090","spotify:user:yjwstn","2025-02-03T17:39:12Z"
"spotify:track:52dm9op3rbfAkc1LGXgipW","Wild Horses - 2009 Mix","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","spotify:album:29m6DinzdaD0OPqWKGyMdz","Sticky Fingers (Remastered)","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","1971-04-23","https://i.scdn.co/image/ab67616d0000b273a1d9c9969f2a7ed27e449a3c","1","3","341773","https://p.scdn.co/mp3-preview/0b748c84540d3115c73b68d31ed906d9847e97da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBUM70909466","spotify:user:yjwstn","2025-02-03T17:39:12Z"
"spotify:track:6WCeFNVAXUtNczb7lqLiZU","Crocodile Rock","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","spotify:album:1reJ8DttK5EGwdyf7y9FBR","Don't Shoot Me I'm Only The Piano Player","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","1973-01-22","https://i.scdn.co/image/ab67616d0000b273f67fbf0d465cca2b3e25af96","1","9","235440","https://p.scdn.co/mp3-preview/d3765af7908ffc35ba5c4e8dc04e17013effa486?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBAMB7200001","spotify:user:yjwstn","2025-02-03T17:39:12Z"
"spotify:track:6LqbJXriVJyqJCd9jYoPqP","Crazy Horses","spotify:artist:5fU6lODhpw3GEGGJuaDprR","The Osmonds","spotify:album:5NPIRpeMN1WupP7pROlXRW","Crazy Horses","spotify:artist:5fU6lODhpw3GEGGJuaDprR","The Osmonds","1972-10-14","https://i.scdn.co/image/ab67616d0000b273817a3f60487da1f67f3c148c","1","7","153173","https://p.scdn.co/mp3-preview/cfcb3cddab31602391f474fa18e1a2fd0894aa2d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USPR37207320","spotify:user:yjwstn","2025-02-03T17:39:12Z"
"spotify:track:2F4FNcz68howQWD4zaGJSi","The Lion Sleeps Tonight (Wimoweh)","spotify:artist:1GAJzApRTMmYZ9EjQ91VOy","The Tokens","spotify:album:6NBox81OQox7U4I0hZB9t0","Wimoweh!!! - The Best Of The Tokens","spotify:artist:1GAJzApRTMmYZ9EjQ91VOy","The Tokens","1994-08-29","https://i.scdn.co/image/ab67616d0000b2739df742dcaf9b79edad9009d0","1","1","162093","https://p.scdn.co/mp3-preview/1d782ec93072f5ed7b6ada0e13a41af3dd3d356a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USRC16100933","spotify:user:yjwstn","2025-02-03T17:39:12Z"
"spotify:track:54eZmuggBFJbV7k248bTTt","A Horse with No Name","spotify:artist:35U9lQaRWSQISxQAB94Meo, spotify:artist:4Fgf6RvuWpiwDXSE7Vammx","America, George Martin","spotify:album:0E5IKYhiKgbYQkmfsFonbZ","America","spotify:artist:35U9lQaRWSQISxQAB94Meo","America","1972","https://i.scdn.co/image/ab67616d0000b273ab3b105e28a0d26df5be8d16","1","5","252239","https://p.scdn.co/mp3-preview/00137d4f947b06e8e1bc5242510e74fdf231e318?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USWB19901792","spotify:user:yjwstn","2025-02-03T17:39:12Z"
"spotify:track:1YLJVmuzeM2YSUkCCaTNUB","Dog Days Are Over","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","spotify:album:2FgknX5e7fJlriQtxvpLhZ","Lungs (Deluxe Edition)","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","2009","https://i.scdn.co/image/ab67616d0000b2730672b0f8756ae2af86e8a5ce","1","1","251840","https://p.scdn.co/mp3-preview/f2e9f824fbfb697b53daf131cecc55798baea55e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBUM70900209","spotify:user:yjwstn","2025-02-03T17:39:12Z"
"spotify:track:4HjwGX3pJKJTeOSDpT6GCo","What's New Pussycat?","spotify:artist:1T0wRBO0CK0vK8ouUMqEl5","Tom Jones","spotify:album:6mKja2qWIfJ0BiYjg0PDWq","What's New Pussycat","spotify:artist:1T0wRBO0CK0vK8ouUMqEl5","Tom Jones","1966-01-01","https://i.scdn.co/image/ab67616d0000b27340cce76a437e4a66d76f123c","1","1","128800","https://p.scdn.co/mp3-preview/c974f733dfda027561a03756323564689a5ea54a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBF076520020","spotify:user:yjwstn","2025-02-03T17:39:12Z"
"spotify:track:2HHtWyy5CgaQbC7XSoOb0e","Eye of the Tiger","spotify:artist:26bcq2nyj5GB7uRr558iQg","Survivor","spotify:album:4PT9VulQaQP6XR1xBI2x1W","Eye Of The Tiger","spotify:artist:26bcq2nyj5GB7uRr558iQg","Survivor","1982","https://i.scdn.co/image/ab67616d0000b2734e2755e7a96ec5e062c76aac","1","1","243773","https://p.scdn.co/mp3-preview/a25804a7e4201e835716a92445f8d9b78002e22c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USVR19300001","spotify:user:yjwstn","2025-02-03T17:39:12Z"
