"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0YPXkQthLWrhNGoKTbwCJ8","(I Just) Died In Your Arms","spotify:artist:3cniTumSiUysiPWXapGx1i","Cutting Crew","spotify:album:6P6YSjfWz53suf41Bqt9BH","The Best Of Cutting Crew","spotify:artist:3cniTumSiUysiPWXapGx1i","Cutting Crew","1993-01-01","https://i.scdn.co/image/ab67616d0000b273b44a04404923d0361d8f8299","1","1","278626","https://p.scdn.co/mp3-preview/42b6a181c17a73acc797d3aa37be2ba6a13b396c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBAAA8600046","spotify:user:yjwstn","2025-02-03T17:55:03Z"
"spotify:track:1cY6UYbPf4plUm3fpLZGWF","Back In My Arms Again - Mono Single Version","spotify:artist:57bUPid8xztkieZfS7OlEV","The Supremes","spotify:album:5Z9hrH7aGLMT9s6lNYx2HH","More Hits By The Supremes - Expanded Edition","spotify:artist:57bUPid8xztkieZfS7OlEV","The Supremes","1965-07-23","https://i.scdn.co/image/ab67616d0000b27336342dd4c5d075403d0dc9dd","1","6","176613","https://p.scdn.co/mp3-preview/ef13ed585f6ec5fe6181bef956c75a892c2867b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USMO16582605","spotify:user:yjwstn","2025-02-03T17:55:03Z"
"spotify:track:2KH16WveTQWT6KOG9Rg6e2","Eye of the Tiger","spotify:artist:26bcq2nyj5GB7uRr558iQg","Survivor","spotify:album:3t3BbpFJiGcXl4jI5CRLLA","Rocky IV","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Varios Artistas","1985","https://i.scdn.co/image/ab67616d0000b273f4a2ccbe20d6d52f16816812","1","4","245640","https://p.scdn.co/mp3-preview/ae5fdf6639eeb270ed9732750b65a3656b807154?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USVR19600010","spotify:user:yjwstn","2025-02-03T17:55:03Z"
"spotify:track:632wpQN4nWLEvxUyGZxyLM","Behind Blue Eyes","spotify:artist:67ea9eGLXYMsO2eYQRui3w","The Who","spotify:album:53PBYiedQrASAs5sy63JqT","Who's Next (Expanded Edition)","spotify:artist:67ea9eGLXYMsO2eYQRui3w","The Who","1971-08-14","https://i.scdn.co/image/ab67616d0000b2732d3eda886f81a2bad9274f02","1","8","222466","https://p.scdn.co/mp3-preview/a7a933c901d2ac0333650a5aa5d3766106b8753b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GBAKW7100099","spotify:user:yjwstn","2025-02-03T17:55:03Z"
"spotify:track:0kPeymTUiaidv48eRrMISu","Bette Davis Eyes","spotify:artist:5h5JpAIqyqwWz0FgaJhjOq","Missing Persons","spotify:album:2Jmuuw5ff8gAGAP6B1yKKJ","Bette Davis Eyes","spotify:artist:5h5JpAIqyqwWz0FgaJhjOq","Missing Persons","2007-01-01","https://i.scdn.co/image/ab67616d0000b273b7bae10276e674152fe26a9b","1","1","226695","https://p.scdn.co/mp3-preview/331d9d3cd258bfeb4307bf20b5aa9bdb1b640634?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USA560619780","spotify:user:yjwstn","2025-02-03T17:55:03Z"
"spotify:track:4igIYHF3B5VBxEafHauVo3","Fat Bottomed Girls - Remastered 2011","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:21HMAUrbbYSj9NiPPlGumy","Jazz (Deluxe Remastered Version)","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","1978-11-10","https://i.scdn.co/image/ab67616d0000b273008b06ec71019afd70153889","1","2","255600","https://p.scdn.co/mp3-preview/d6bb956446870f6b6cf3107fb33e144ed785a89a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBUM71029607","spotify:user:yjwstn","2025-02-03T17:55:03Z"
"spotify:track:7E9ZoHMqAt68r0kB71RxcY","Blue Eyes","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","spotify:album:7iKDBfOFUtg8E8RbuDhiux","To Be Continued...","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","1990-11-08","https://i.scdn.co/image/ab67616d0000b27310a2dbd14d14e7495e7bf7e5","3","17","206093","https://p.scdn.co/mp3-preview/04aadf341ac39087ee996ee6f61c9bc6709d2a14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","GBALX8200008","spotify:user:yjwstn","2025-02-03T17:55:03Z"
"spotify:track:22VdIZQfgXJea34mQxlt81","Can't Feel My Face","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:0P3oVJBFOv3TDXlYRhGL7s","Beauty Behind The Madness","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2015-08-28","https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b","1","7","213520","https://p.scdn.co/mp3-preview/99b0d35b74903a1807c2f0a7b4e54f844c93fb68?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USUG11500741","spotify:user:yjwstn","2025-02-03T17:55:03Z"
"spotify:track:43thLwzSasUUZEYjYPeJh3","Close My Eyes Forever","spotify:artist:77tBvvyd6SD4Y9Um1xcbxP, spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Lita Ford, Ozzy Osbourne","spotify:album:5nfd1bXqze24U3EZXP1Qlk","Lita","spotify:artist:77tBvvyd6SD4Y9Um1xcbxP","Lita Ford","1988-02-01","https://i.scdn.co/image/ab67616d0000b2732dbf0cc843a4a0fe8c8f5482","1","9","283133","https://p.scdn.co/mp3-preview/9209124cfe52b9782dfc138a47a92fbb138bb294?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USRC18705901","spotify:user:yjwstn","2025-02-03T17:55:03Z"
"spotify:track:3QcuZo6WLcFkqqLmDs0d95","Doctor My Eyes","spotify:artist:5lkiCO9UQ8B23dZ1o0UV4m","Jackson Browne","spotify:album:0n93YRc9GP3ZgREgTHvP5u","Jackson Browne (Saturate Before Using)","spotify:artist:5lkiCO9UQ8B23dZ1o0UV4m","Jackson Browne","1972","https://i.scdn.co/image/ab67616d0000b273759f9719982a240d02539e38","1","4","199906","https://p.scdn.co/mp3-preview/625a35d9b4e8b4786adc13bb59a2083c07621f54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","USEE10184286","spotify:user:yjwstn","2025-02-03T17:55:03Z"
"spotify:track:0d8U9eJajtUmiJVXbIO624","Don't It Make My Brown Eyes Blue","spotify:artist:6OheJTrDFGiyZ67F1BBLhc","Crystal Gayle","spotify:album:5aimlnSDRmHRGfVReDwLqa","Crystal Gayle: The Hits","spotify:artist:6OheJTrDFGiyZ67F1BBLhc","Crystal Gayle","2007-01-01","https://i.scdn.co/image/ab67616d0000b2730aee56c811fe828a7572b77f","1","8","157933","https://p.scdn.co/mp3-preview/4930ef46ad4057295bbd9e641cacbdc490662d05?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USCN10100635","spotify:user:yjwstn","2025-02-03T17:55:03Z"
"spotify:track:1cktZnxiONH0hR6Q3DKy8h","Drink In My Hand","spotify:artist:2IvkS5MXK0vPGnwyJsrEyV","Eric Church","spotify:album:5dtw6CoMhbrSj01YUvdQOF","Chief","spotify:artist:2IvkS5MXK0vPGnwyJsrEyV","Eric Church","2011-01-01","https://i.scdn.co/image/ab67616d0000b273c1bc36faa8afff2b5273490b","1","2","191306","https://p.scdn.co/mp3-preview/54c2f46c37be9869ee80b0d2ce883192dfdd1a36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USCN11100111","spotify:user:yjwstn","2025-02-03T17:55:03Z"
