Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0d28khcov6AiegSCpG5TuT,"Feel Good Inc.","Demon Days","Gorillaz",2005-05-23,222640,85,captainlufthansa,2020-01-14T18:05:36Z,"","Parlophone UK",0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,4
5ghIJDpPoe3CfHMGu71E6T,"Smells Like Teen Spirit","Nevermind (Remastered)","Nirvana",1991-09-26,301920,76,captainlufthansa,2020-02-09T23:23:04Z,"grunge,rock","Geffen",0.502,0.912,1,-4.556,1,0.0564,0.0000255,0.000173,0.106,0.72,116.761,4
2fmMPJb5EzZCx8BcNJvVk4,"Low Rider","Why Can't We Be Friends?","War",1975-01-01,191560,0,captainlufthansa,2020-07-24T22:44:40Z,"","Avenue Records Catalog P&D",0.811,0.647,0,-10.989,1,0.0498,0.0823,0.681,0.0572,0.99,139.787,4
5ChkMS8OtdzJeqyybCc9R5,"Billie Jean","Thriller 25 Super Deluxe Edition","Michael Jackson",2008-02-08,293826,76,captainlufthansa,2020-06-13T22:52:03Z,"","Epic/Legacy",0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046,4
5lA3pwMkBdd24StM90QrNR,"P.Y.T. (Pretty Young Thing)","Thriller 25 Super Deluxe Edition","Michael Jackson",2008-02-08,238733,61,captainlufthansa,2020-08-24T17:48:40Z,"","Epic/Legacy",0.888,0.816,11,-4.909,0,0.0404,0.233,0.00042,0.127,0.961,127.276,4
5LxvwujISqiB8vpRYv887S,"I Want You Back","Diana Ross Presents The Jackson 5","The Jackson 5",1969-12-18,176333,74,captainlufthansa,2020-10-03T13:28:13Z,"motown","UNI/MOTOWN",0.469,0.538,8,-13.559,1,0.0575,0.305,0.000114,0.37,0.885,196.606,4
57JVGBtBLCfHw2muk5416J,"Another One Bites The Dust - Remastered 2011","The Game (Deluxe Remastered Version)","Queen",1980-06-27,214653,70,captainlufthansa,2020-02-12T20:27:49Z,"rock clásico,rock,glam rock","Hollywood Records",0.932,0.528,5,-6.472,0,0.161,0.115,0.329,0.163,0.757,109.975,4
5u54g34m8n4QoLyHB2Pr2R,"Easy","Back To Front","Commodores",1992-01-01,257906,18,captainlufthansa,2020-07-10T21:09:21Z,"motown","Motown",0.583,0.427,10,-13.146,0,0.0324,0.22,0.00144,0.123,0.367,132.853,4
24NwBd5vZ2CK8VOQVnqdxr,"Sweet Emotion","Toys In The Attic","Aerosmith",1975-04-08,274133,5,captainlufthansa,2020-01-14T18:05:11Z,"rock clásico,rock","Columbia",0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,4
5SZ6zX4rOrEQferfFC2MfP,"Walk This Way","Toys In The Attic","Aerosmith",1975-04-08,220400,27,captainlufthansa,2020-11-20T04:30:44Z,"rock clásico,rock","Columbia",0.653,0.73,5,-10.613,1,0.043,0.0114,0.0000103,0.0754,0.894,108.705,4
3QZ7uX97s82HFYSmQUAN1D,"Tom Sawyer","Moving Pictures (2011 Remaster)","Rush",1981-02-12,276880,67,captainlufthansa,2020-01-14T18:05:42Z,"rock progresivo,rock clásico,rock,hard rock,aor","Mercury Records",0.536,0.901,9,-7.211,1,0.0374,0.00145,0.0186,0.06,0.666,87.559,4
3lpDrxUkr0tIe1kmJvdK7d,"YYZ","Moving Pictures (2011 Remaster)","Rush",1981-02-12,265840,54,captainlufthansa,2020-02-12T20:31:25Z,"rock progresivo,rock clásico,rock,hard rock,aor","Mercury Records",0.51,0.919,7,-8.244,1,0.0593,0.00205,0.809,0.068,0.386,141.053,4
4e9hUiLsN4mx61ARosFi7p,"The Spirit Of Radio","Permanent Waves","Rush",1980-01-01,296466,60,captainlufthansa,2020-10-23T06:45:01Z,"rock progresivo,rock clásico,rock,hard rock,aor","Island Mercury",0.365,0.924,4,-7.066,1,0.0488,0.0144,0.000254,0.423,0.632,135.811,4
0Z0s6dw0zw2ENU1gVjlLV6,"Subdivisions","Signals","Rush",1982-09-09,334000,52,captainlufthansa,2022-10-15T00:28:47Z,"rock progresivo,rock clásico,rock,hard rock,aor","Island Mercury",0.513,0.84,11,-9.272,0,0.0365,0.047,0.0419,0.12,0.451,133.272,3
0K6yUnIKNsFtfIpTgGtcHm,"Limelight","Moving Pictures (2011 Remaster)","Rush",1981-02-12,259839,62,captainlufthansa,2022-11-17T14:34:31Z,"rock progresivo,rock clásico,rock,hard rock,aor","Mercury Records",0.581,0.854,1,-8.485,0,0.0428,0.00197,0.0013,0.111,0.788,131.18,4
2hKdd3qO7cWr2Jo0Bcs0MA,"Drops of Jupiter (Tell Me)","Drops Of Jupiter","Train",2001-03-27,259933,78,captainlufthansa,2020-08-15T02:50:37Z,"pop suave","Columbia/Legacy",0.481,0.638,0,-5.862,1,0.0276,0.153,0,0.154,0.497,79.064,4
