Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0VjIjW4GlUZAMYd2vXMi3b,"Blinding Lights","After Hours","The Weeknd",2020-03-20,200040,87,mn5p25u214rrj1ehw4tvolww5,2020-10-29T17:28:01Z,"","Republic Records",0.513,0.73,1,-5.94,1,0.0598,0.00143,0.0000954,0.0897,0.334,171.001,4
7qiZfU4dY1lWllzX7mPBI3,"Shape of You","÷ (Deluxe)","Ed Sheeran",2017-03-03,233712,85,mn5p25u214rrj1ehw4tvolww5,2020-10-29T17:25:07Z,"pop suave","Atlantic Records UK",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4
7qEHsqek33rTcFNT9PFqLf,"Someone You Loved","Divinely Uninspired To A Hellish Extent","Lewis Capaldi",2019-05-17,182160,85,mn5p25u214rrj1ehw4tvolww5,2024-01-27T00:29:31Z,"pop suave","Vertigo Berlin",0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
4LRPiXqCikLlN15c3yImP7,"As It Was","As It Was","Harry Styles",2022-03-31,167303,27,mn5p25u214rrj1ehw4tvolww5,2022-06-24T01:42:03Z,"","Columbia",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
7MXVkk9YMctZqd1Srtv4MB,"Starboy","Starboy","The Weeknd,Daft Punk",2016-11-25,230453,87,mn5p25u214rrj1ehw4tvolww5,2020-10-29T17:30:40Z,"house francés,electrónica,electro","Universal Republic Records",0.679,0.587,7,-7.015,1,0.276,0.141,0.00000635,0.137,0.486,186.003,4
0RiRZpuVRbi7oqRdSMwhQY,"Sunflower - Spider-Man: Into the Spider-Verse","Hollywood's Bleeding","Post Malone,Swae Lee",2019-09-06,157560,80,mn5p25u214rrj1ehw4tvolww5,2020-10-29T17:26:52Z,"","Republic Records",0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,4
2QjOHCTQ1Jl3zawyYOpxh6,"Sweater Weather","I Love You.","The Neighbourhood",2013-04-22,240400,89,mn5p25u214rrj1ehw4tvolww5,2020-10-30T06:20:58Z,"","Columbia",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
1zi7xx7UVEFkmKfv06H8x0,"One Dance","Views","Drake,Wizkid,Kyla",2016-05-06,173986,84,mn5p25u214rrj1ehw4tvolww5,2020-10-29T17:25:40Z,"rap,hip hop,afrobeats,afrobeat,afropop,azonto,afroswing,dancehall","Cash Money Records/Young Money Ent./Universal Rec.",0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,4
5HCyWlXZPP0y6Gqq8TgA20,"STAY (with Justin Bieber)","STAY (with Justin Bieber)","The Kid LAROI,Justin Bieber",2021-07-09,141805,78,mn5p25u214rrj1ehw4tvolww5,2021-09-19T04:35:06Z,"","Columbia",0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4
0pqnGHJpmpxLKifKRmU6WP,"Believer","Evolve","Imagine Dragons",2017-06-23,204346,85,mn5p25u214rrj1ehw4tvolww5,2020-10-29T17:29:06Z,"","Kid Ina Korner / Interscope",0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,4
